date,time,tidak_hujan,hujan_ringan,hujan_sedang,hujan_lebat,hujan_s_lebat
20250228,1,0,0,1,0,0
20250228,4,1,0,0,0,0
20250228,7,1,0,0,0,0
20250228,10,1,0,0,0,0
20250228,13,0,1,0,0,0
20250228,16,0,0,1,0,0
20250228,19,0,0,1,0,0
20250228,22,0,1,0,0,0
20250301,1,1,0,0,0,0
20250301,4,1,0,0,0,0
20250301,7,1,0,0,0,0
20250301,10,1,0,0,0,0
20250301,13,1,0,0,0,0
20250301,16,0,1,0,0,0
20250301,19,0,0,0,1,0
20250301,22,0,1,0,0,0
20250302,1,1,0,0,0,0
20250302,4,1,0,0,0,0
20250302,7,1,0,0,0,0
20250302,10,1,0,0,0,0
20250302,13,0,1,0,0,0
20250302,16,0,0,0,1,0
20250302,19,0,0,1,0,0
20250302,22,0,1,0,0,0
20250303,1,0,1,0,0,0
20250303,4,1,0,0,0,0
20250303,7,1,0,0,0,0
20250303,10,1,0,0,0,0
20250303,13,0,0,1,0,0
20250303,16,0,0,0,1,0
20250303,19,0,1,0,0,0
20250303,22,0,1,0,0,0
20250304,1,0,1,0,0,0
20250304,4,1,0,0,0,0
20250304,7,1,0,0,0,0
20250304,10,0,1,0,0,0
20250304,13,0,0,1,0,0
20250304,16,0,1,0,0,0
20250304,19,0,0,1,0,0
20250304,22,0,1,0,0,0
20250305,1,1,0,0,0,0
20250305,4,1,0,0,0,0
20250305,7,1,0,0,0,0
20250305,10,0,1,0,0,0
20250305,13,0,1,0,0,0
20250305,16,0,1,0,0,0
20250305,19,0,1,0,0,0
20250305,22,1,0,0,0,0
20250306,1,1,0,0,0,0
20250306,4,1,0,0,0,0
20250306,7,1,0,0,0,0
20250306,10,1,0,0,0,0
20250306,13,0,1,0,0,0
20250306,16,0,0,1,0,0
20250306,19,1,0,0,0,0
20250306,22,1,0,0,0,0
20250307,1,1,0,0,0,0
20250307,4,1,0,0,0,0
20250307,7,1,0,0,0,0
20250307,10,1,0,0,0,0
20250307,13,1,0,0,0,0
20250307,16,0,0,0,1,0
20250307,19,0,1,0,0,0
20250307,22,0,1,0,0,0
20250308,1,1,0,0,0,0
20250308,4,1,0,0,0,0
20250308,7,1,0,0,0,0
20250308,10,1,0,0,0,0
20250308,13,1,0,0,0,0
20250308,16,0,0,0,1,0
20250308,19,0,1,0,0,0
20250308,22,1,0,0,0,0
20250309,1,0,1,0,0,0
20250309,4,1,0,0,0,0
20250309,7,1,0,0,0,0
20250309,10,0,1,0,0,0
20250309,13,0,1,0,0,0
20250309,16,0,0,1,0,0
20250309,19,0,1,0,0,0
20250309,22,0,1,0,0,0
20250310,1,1,0,0,0,0
20250310,4,1,0,0,0,0
20250310,7,1,0,0,0,0
20250310,10,1,0,0,0,0
20250310,13,0,1,0,0,0
20250310,16,0,0,1,0,0
20250310,19,0,0,1,0,0
20250310,22,1,0,0,0,0
20250311,1,1,0,0,0,0
20250311,4,1,0,0,0,0
20250311,7,1,0,0,0,0
20250311,10,1,0,0,0,0
20250311,13,1,0,0,0,0
20250311,16,1,0,0,0,0
20250311,19,0,1,0,0,0
20250311,22,1,0,0,0,0
20250312,1,0,0,1,0,0
20250312,4,1,0,0,0,0
20250312,7,1,0,0,0,0
20250312,10,1,0,0,0,0
20250312,13,1,0,0,0,0
20250312,16,1,0,0,0,0
20250312,19,1,0,0,0,0
20250312,22,0,1,0,0,0
